ATC code,drug,count
N02AJ07,DB00318,1233849,
N02AJ02,DB01551,1227159,
C10BX05,DB01098,1227117,
C10BX01,DB00641,1233490,
C07FX03,DB00264,1228156,
C10BX12,DB01076,1227562,
C10BX12,DB00790,1233226,
C10BX08,DB01076,1227562,
C10BX06,DB01076,1227562,
C10BX06,DB00178,1226031,
C07FX02,DB00489,1230665,
J04AM08,DB00440,1230975,
J01EE01,DB00440,1230975,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
C09CA04,DB01029,1218187,
C09DB05,DB00381,1225161,
C09DB05,DB01029,1218187,
C09DA04,DB01029,1218187,
C09DX07,DB00381,1225161,
C09DX07,DB01029,1218187,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
C10BA03,DB01039,1226014,
C10BA03,DB00175,1232243,
C10AB05,DB01039,1226014,
C10BA09,DB01039,1226014,
C10BA09,DB01098,1227117,
C10BA04,DB00641,1233490,
C10BA04,DB01039,1226014,
G02CC01,DB01050,1238148,
C01EB16,DB01050,1238148,
M01AE01,DB01050,1238148,
M02AA13,DB01050,1238148,
R02AX02,DB01050,1238148,
N02AJ08,DB00318,1233849,
N02AJ08,DB01050,1238148,
N02AJ19,DB01050,1238148,
M01AE51,DB01050,1238148,
C10BX10,DB00177,1220756,
C10BX10,DB01098,1227117,
C10BX05,DB01098,1227117,
C10BX07,DB00381,1225161,
C10BX07,DB01098,1227117,
C10BX07,DB00722,1234851,
C10AA07,DB01098,1227117,
A10BH52,DB01098,1227117,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
C10BX13,DB01098,1227117,
C10BX13,DB00808,1228423,
C10BX13,DB00790,1233226,
C10BX09,DB00381,1225161,
C10BX09,DB01098,1227117,
C10BA09,DB01039,1226014,
C10BA09,DB01098,1227117,
C10BX16,DB01098,1227117,
C10BX17,DB01098,1227117,
C10BX17,DB00178,1226031,
C10BX14,DB00381,1225161,
C10BX14,DB01098,1227117,
C10BX14,DB00790,1233226,
C10BA06,DB01098,1227117,
C10BA06,DB00973,1228279,
A10BB09,DB01120,1225488,
A02BD10,DB00448,1222030,
A02BD10,DB01060,1230235,
N05CF01,DB01198,1231231,
R03AL11,DB01222,1223827,
D07AC09,DB01222,1223827,
R01AD05,DB01222,1223827,
R03AK07,DB01222,1223827,
A07EA06,DB01222,1223827,
R03BA02,DB01222,1223827,
R03AK12,DB01222,1223827,
R03AK12,DB00938,1226746,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
J01EE04,DB00440,1230975,
R03AL06,DB01409,1221974,
C09DB07,DB00381,1225161,
C09DX06,DB00381,1225161,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
C03EB01,DB00695,1220619,
C03CA01,DB00695,1220619,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
C03CB01,DB00695,1220619,
C03CB01,DB14500,530273,
A11GB01,DB01373,1710834,
A11GB01,DB01373,1710834,
A11GB01,DB01373,1710834,
C10AA03,DB00175,1232243,
C10BA03,DB01039,1226014,
C10BA03,DB00175,1232243,
C10BX02,DB00175,1232243,
J01FA01,DB00199,1225126,
D10AF02,DB00199,1225126,
S01AA17,DB00199,1225126,
D10AF52,DB00199,1225126,
A02BD04,DB00213,1226619,
A02BD04,DB01060,1230235,
A02BD11,DB00213,1226619,
A02BD11,DB01060,1230235,
A02BC02,DB00213,1226619,
N03AX11,DB00273,1238685,
A07DA52,DB00295,1232719,
N02AA51,DB00295,1232719,
N02AA01,DB00295,1232719,
N02AG01,DB00295,1232719,
R06AE07,DB00341,1230500,
C01AA05,DB00390,1219873,
R03AK13,DB01001,1227958,
C03DA01,DB00421,1232612,
N03AX09,DB00555,1224752,
L04AX03,DB00563,1222867,
L01BA01,DB00563,1222867,
C09BA02,DB00584,1225861,
C09BB06,DB00584,1225861,
C09BB02,DB00528,1240186,
C09BB02,DB00584,1225861,
C09AA02,DB00584,1225861,
C07FX04,DB00612,1239972,
C07BB07,DB00612,1239972,
C07AB07,DB00612,1239972,
C09BX02,DB00612,1239972,
C09BX02,DB00790,1233226,
C09BX04,DB00381,1225161,
C09BX04,DB00612,1239972,
C09BX04,DB00790,1233226,
C07FB07,DB00381,1225161,
C07FB07,DB00612,1239972,
N02CC01,DB00669,1223922,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
J01XE01,DB00698,1231935,
J01XE51,DB00698,1231935,
A02BD06,DB00736,1232909,
A02BD06,DB01060,1230235,
A02BC05,DB00736,1232909,
M01AE52,DB00788,1229747,
M01AE52,DB00736,1232909,
D07AA03,DB00860,1228224,
S01CA02,DB00860,1228224,
D07XA02,DB00860,1228224,
A01AC54,DB00860,1228224,
R01AD02,DB00860,1228224,
S01BB02,DB00860,1228224,
R01AD52,DB00860,1228224,
S01CB02,DB00860,1228224,
V03AB05,DB00860,1228224,
S03BA02,DB00860,1228224,
D07BA01,DB00860,1228224,
D07CA03,DB00860,1228224,
S01BA04,DB00860,1228224,
S02BA03,DB00860,1228224,
A07EA01,DB00860,1228224,
H02AB06,DB00860,1228224,
S02CA01,DB00860,1228224,
C05AA04,DB00860,1228224,
S03CA02,DB00860,1228224,
D11AH01,DB00864,1236124,
L04AD02,DB00864,1236124,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
R06AX26,DB00950,1224040,
C09DB04,DB00381,1225161,
C09DB04,DB00966,1230277,
C09CA07,DB00966,1230277,
C09DA07,DB00966,1230277,
R06AX27,DB00967,1236943,
C10BA02,DB00641,1233490,
C10BA02,DB00973,1228279,
C10BA05,DB01076,1227562,
C10BA05,DB00973,1228279,
C10AX09,DB00973,1228279,
C10BA06,DB01098,1227117,
C10BA06,DB00973,1228279,
B01AC07,DB00975,1218002,
C09BB06,DB00584,1225861,
C09AA01,DB01197,1224196,
C09BA01,DB01197,1224196,
N03AX14,DB01202,1232392,
A02BD12,DB01060,1230235,
A02BD14,DB01060,1230235,
A02BD07,DB00448,1222030,
A02BD07,DB01060,1230235,
A02BD04,DB00213,1226619,
A02BD04,DB01060,1230235,
A02BD09,DB00448,1222030,
A02BD05,DB00338,1226453,
A02BD05,DB01060,1230235,
A02BD06,DB00736,1232909,
A02BD06,DB01060,1230235,
A02BD11,DB00213,1226619,
A02BD11,DB01060,1230235,
A10BH51,DB00641,1233490,
A10BD07,DB00331,1224407,
A10BD12,DB01132,1221596,
M04AC01,DB01394,1222323,
A10BD08,DB00331,1224407,
R03AL12,DB00764,1229948,
R03AK14,DB00764,1229948,
A10BD11,DB00331,1224407,
A10BD16,DB00331,1224407,
C09XA54,DB00381,1225161,
C09XA53,DB00381,1225161,
C09DX02,DB00177,1220756,
A10BD20,DB00331,1224407,
A10BD23,DB00331,1224407,
J01AA20,DB00254,1226129,
J01AA20,DB00595,1228775,
J01AA20,DB00254,1226129,
J01AA20,DB00595,1228775,
R03BA05,DB13867,1229304,
D07AC17,DB13867,1229304,
R03AK11,DB13867,1229304,
R03AK06,DB13867,1229304,
R03AK06,DB00938,1226746,
R01AD08,DB13867,1229304,
R01AD58,DB13867,1229304,
J01AA20,DB00254,1226129,
J01AA20,DB00595,1228775,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
